HistoryOfWolves	Emily Fridlund
Good writing offers, among other things, a faithful depiction of external reality	Sto
In great writing, there is an additional focus is on the experience of that reality--from the author's (or the protagonist's) point of view--and this must be done in a way that is both artful and subtle, so it resonates with the reader without overwhelming detail or pretension	WS
This is exactly what characterizes Emily Fridlund's writing in this complex -- yet very readable-- novel	WS
Other reviewers have written that they are not sure what the novel is about	Rev
But what may appear muddled very appropriately reflects the musings of an adolescent trying to make sense of her world	Char
"A common theme runs through the seemingly disconnected subplots: what is more important, our internal truths"" or our external reality? "	Sto
And are the consequences of our actions judged by our assumptions or our intentions, or even by whether we are reactive, proactive, or passive?	Sto
There is much to ponder here, both from the point of view of a teenage girl, and from her grown-up 37 year old self	Sto
and the two are not much different	Char
One lingering question is, do we really mature with our passing years?	Sto
Those who felt puzzled by the novel might benefit from a second read after knowing where the story ultimately goes	Rev
I, for one, am tempted	Rev
even though I rarely read anything twice	Rev
But this one was such a rich and engrossing read that I might just turn back again to page 1	Rev
--if only to re-experience Ms. Fridlund's exquisite prose	WS
