Elmet	Fiona Mozley
Elmet is a timeless story of class in rural England	Sto
It could have happened one hundred or more years ago	O
It is happening now in the Yorkshire village of Elmet	Sum
A man who owns the land, countless acres of forest, decides the lives of the poor who need a place to live and to scrape out a living	Sum
Daniel, a fourteen-year-old boy, narrates his family's painful saga	Sum
Daniel lives with his father and his sister	Sum
They once lived with his grandmother, but the kids bullied Daniel and Cathy	Sum
John, the father, took them out of school and moved far away to a forest	Sum
John and his children carved out space in the forest and eventually built a house, made entirely from their hands	Sum
They lived off of hunting, foraging and a small garden that Daniel kept	Sum
John took Daniel and Cathy to a friend's house in the mornings for a bit of tutoring	Sum
It was a haphazard approach to education	Sum
Daniel became close to Vivienne and loved his mornings with her, talking about all the things in the world he had never seen	Sum
Daniel's knowledge of the world was limited to his memories of his mother, his grandmother's house, and the fantastic stories Vivienne told about world events	Sum
The children were innocent in the ways of the world, entirely dependent on their father's brawn to provide for them and the loving closeness of their family to nurture their souls	Sum
John Price, the wealthy landowner, intrudes in their quiet life and turns it upside down	Sum
It is at the hands of the greedy Price and his sons that the poor people of the area, particularly John and his children, suffer because they have no choice in life but to work with the very little they have	Sum
Price has no sympathy for the underemployed men who live as his tenants	Sum
The hired henchmen collect the rent or throw the tenants into the street	Sum
The saga comes to a head when Price accuses John of a crime he did not commit	Sum
Elmet offers an intimate and painful knowledge of life in the rural north that hasn't changed much in hundreds of years	Sto
It is a microcosm of the suffering going on there and in other places in the world today	Sto
Fiona Mozley writes with authority and a genuine feel for this family and many like them	WS
I was happy to read this novel, one I will not quickly forget	Rev
