Elmet	Fiona Mozley
Daniel, a young boy, lives with his sister, Cathy and their Daddy	Sum
They live in a house Daddy built with his own hands meant to last a very long time	Sum
Their house is remote and, as a result, Cathy and Daniel do not attend school with other children their age	Sum
Daddy occasionally disappears to fight which is how he makes his money	Sum
Daddy tries to make for them a safe and secure home	Sum
The land they live on, however, belongs to someone else- Mr Price, who seeks payment in some way	Sum
It is a way that will eventually lead to violence	Sum
There is so much to this story	Sto
In a sense, it is a coming of age tale	Sto
It examines the nature of relationships and how well we know somebody- even if they are in our family	Sto
Most impressive, in this debut novel, is the way the author not only establishes realistic characters but how she ratchets up the suspense little by little until the explosive ending	Char
It is brilliant work and with a unique voice	WS
This novel was also longlisted for the Man Booker Prize in 2017	O
For an unknown author and a small press book, it is a remarkable achievement	O
