TheUndergroundRailroad	Colson Whitehead
LOVED THIS	Rev
So in full transparency, I was skeptical about it, because as a U.S. history major, I have read so many books about slavery, I just wasn't sure what Whitehead could possibly do that would be fresh, enthralling, unique to the genre and subject matter	Rev
Let me tell you something	Rev
I was up late, gripping this book, white knuckling it if you will	Rev
There were times when I was terribly afraid for the protagonist and my heart was pounding wildly as she faced any number of situations	Char
I would have to put it down, and think, this isn't even real!	Rev
The thing is, though the premise is imaginary, clearly slavery was not	Sto
Being a young black woman, this hit close to home	Rev
What if this was me?	Sto
Would I have been strong enough to stay focused and calculating?	Sto
Would I have been picked as an ideal partner to escape with?	Sto
The end is strong, though absolutely infuriating in some aspects	Sto
I realize this was done intentionally, as ultimately this isn't Disney so you're not supposed to close with the happily ever after	Rev
I'd strongly suggest this novel if you're looking for a powerful read	Rev
